type,verb,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,date,frameRate,expName,participant,
leg,STRIDE,Leg,leg,0,63,63,67,0,1,1,1,7,3.477,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,STRIDE,,,0,63,63,67,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,ROAM,Arm,arm,0,64,64,54,0,0,0,0,1,3.257,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,ROAM,Leg,leg,0,64,64,54,0,1,1,1,4,3.962,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,ROAM,,,0,64,64,54,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,GESTURE,Arm,arm,0,65,65,10,0,0,0,0,7,1.946,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,GESTURE,Leg,leg,0,65,65,10,0,1,1,1,3,2.099,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,GESTURE,,,0,65,65,10,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PEEL,Arm,arm,0,66,66,19,0,0,0,0,5,3.523,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PEEL,Leg,leg,0,66,66,19,0,1,1,1,1,1.882,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PEEL,,,0,66,66,19,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,BOUNCE,Arm,arm,0,67,67,40,0,0,0,0,2,3.688,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,BOUNCE,Leg,leg,0,67,67,40,0,1,1,1,6,2.088,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,BOUNCE,,,0,67,67,40,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,FLEE,Arm,arm,0,68,68,41,0,0,0,0,1,3.241,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,FLEE,Leg,leg,0,68,68,41,0,1,1,1,6,5.153,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,FLEE,,,0,68,68,41,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,SKIP,Arm,arm,0,69,69,58,0,0,0,0,2,3.998,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,SKIP,Leg,leg,0,69,69,58,0,1,1,1,7,2.14,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,SKIP,,,0,69,69,58,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,JUMP,Arm,arm,0,70,70,46,0,0,0,0,3,3.075,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,JUMP,Leg,leg,0,70,70,46,0,1,1,1,7,2.238,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,JUMP,,,0,70,70,46,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,GLIDE,Arm,arm,0,71,71,42,0,0,0,0,5,5.953,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,GLIDE,Leg,leg,0,71,71,42,0,1,1,1,3,4.143,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,GLIDE,,,0,71,71,42,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,KNOCK,Arm,arm,0,72,72,16,0,0,0,0,7,3.186,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
