type,word1,word2,word3,word4,BlockType,Effector,BlockLabel,BlockInstructions,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
leg,sprint,kick,slip,hike,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,1,1,1,space,8.0664840729,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,stomp,kneel,glide,stand,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,2,2,2,space,15.4803466068,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,slap,sign,grab,knock,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,3,3,3,space,8.31917507231,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,brush,punch,wash,carve,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,4,4,4,space,8.85554677971,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,trip,tiptoe,trudge,pedal,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,5,5,5,space,19.7233601627,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,pace,jog,jump,wade,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,6,6,6,space,12.645908215,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,throw,cut,peel,hug,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,7,7,7,space,5.43460109833,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,dig,poke,grasp,rub,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,8,8,8,space,7.88303699381,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,bounce,walk,run,stroll,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,9,9,9,space,16.5704049528,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,scratch,stab,push,clap,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,10,10,10,space,18.666623863,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,whip,grip,pinch,polish,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,11,11,11,space,6.64214083559,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,sneak,roam,stride,stray,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,12,12,12,space,10.5329927217,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,flee,hop,step,squat,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,13,13,13,space,6.80975504329,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,catch,gesture,scrub,chop,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,14,14,14,space,14.8765674531,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,wipe,snatch,hack,fold,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,15,15,15,space,12.2601028789,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,march,leap,skate,wander,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,16,16,16,space,12.8808267452,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,pluck,clean,scoop,click,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,17,17,17,space,7.11166496835,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,limp,rush,trample,stumble,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,18,18,18,space,11.1515150318,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
arm,nip,pat,pull,stir,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,19,19,19,space,6.69186747833,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
,,,,,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
