verb;translation_simple;translation_details;comment;score;score_comment;coder
tiptoe;jag vet inte;;;0;;
tiptoe;smyga;;;1;;
tiptoe;smyga;kanske;;1;;
tiptoe;smyga på tå;;;1;;
tiptoe;stå på tå;;;1;;
tiptoe;tassa;;;1;;
tiptoe;tassa, gå på tå;;;1;;
tiptoe;trippa;;;1;;
toddle;jag vet inte;;;0;;
toddle;krypa;;;0;;
toddle;skaka om, skaka;;;0;;
toddle;stappla;"""det måste ju ha med små barn att göra""";;0;;
toddle;ta sig fram lite ostadigt;kommer inte exakt på något men att ta sig fram lite ostadigt;;0,5;;
toddle;;instabil, benrelaterat tror jag;;0;;
toss;dra;dra tror jag;;0;;
toss;dra ;;;0;;
toss;jag vet inte;;;0;;
toss;jag vet inte;det är iaf fotrelaterat, men jag vet inte vad det betyder;;0;;
toss;kasta;;;1;;
toss;slänga;;;1;;
toss;smyga;;;0;;
totter;jag vet inte;;;0;;
totter;jag vet inte;osäker men jag tror det har mer med armar än med ben att göra;;0;;
totter;promenera;jag vet inte känns som att typ promenera;;0;;
totter;vet inte;;;0;;
traipse;ingen aning;;;0;;
traipse;jag vet inte;;;0;;
traipse;jag vet inte;inte en aning;;0;;
traipse;jag vet inte;ingen aning;;0;;
traipse;jag vet inte;osäker men tror att det har med ben att göra;;0;;
traipse;trippa;fast jag vet inte;;0;;
traipse;vet inte;;;0;;
tramp;jag vet inte;;;0;;
tramp;jag vet inte;osäker men tror att det har med ben att göra;;0;;
tramp;stå på, trampa på;;;1;;
tramp;trampa;;;1;;
tramp;trampa;kanske;;1;;
trample;jag vet inte;;;0;;
trample;trampa;;;1;;
trample;trampa;"""jag vet inte vad det är men det låter typ som trampa osäker""";;1;;
trample;vet inte;;;0;;
tread;beträda, stå på;;;0,5;;
tread;gå försiktigt;typ;;0,5;;
tread;ingen aning;;;0;;
tread;jag vet inte;;;0;;
tread;smyg;;;0;;
tread;tråda;;;0;;
tread;trä;tror jag;;0;;
