original_order_appendix,word_category,word,cognate_Swe_bin,cognate_Swe_which,in_original_study_S&P,L2_norms_collected,Arm_rating_June2018,Leg_rating_June2018,arm_minus_leg_bias_June2018,bias_absol_June2018,frequency (Zipf; subtlex),DomPoS (dominant part of speech; subtlex),comment
-99,leg,run,0,,no,yes,1.411764706,7,-5.588235294,5.588235294,5.49,verb,
-99,leg,rush,-99,rusa,no,yes,1.176470588,6.470588235,-5.294117647,5.294117647,4.44,noun,
-99,leg,saunter,0,,no,no,NA,NA,NA,NA,,,GMM added this after the pilot (180828): synonym of walk; can be a noun as well but keeps legs association
-99,leg,shamble,0,,no,no,NA,NA,NA,NA,,,AP added this after the pilot (180830); can be a noun as well
33,leg,skate,1,skejta,yes,yes,1.411764706,6.705882353,-5.294117647,5.294117647,3.61,noun,
4,leg,skip,0,,yes,yes,1.411764706,6.176470588,-4.764705882,4.764705882,4.1,verb,
29,leg,slide,0,,yes,yes,2.058823529,5.470588235,-3.411764706,3.411764706,4.17,noun,
30,leg,slip,0,,yes,yes,2.176470588,6.470588235,-4.294117647,4.294117647,4.33,verb,
-99,leg,slither,0,,no,yes,3.352941176,4.470588235,-1.117647059,1.117647059,2.78,noun,
-99,leg,sneak,0,,no,yes,2.058823529,6.352941176,-4.294117647,4.294117647,3.91,verb,
24,leg,sprint,1,sprinta,yes,yes,1.470588235,7,-5.529411765,5.529411765,3.9,noun,
-99,leg,squat,0,,no,no,NA,NA,NA,NA,,,GMM added this after the pilot (180828): from Appendix in Kelpp et al. [2014]. Also a noun; in one of its meaning (occupied building) without any leg relation
-99,leg,stagger,0,,no,yes,2.235294118,5.764705882,-3.529411765,3.529411765,2.84,verb,
5,leg,stamp,1,stampa,yes,yes,3.058823529,4.117647059,-1.058823529,1.058823529,4.2,noun,
-99,leg,stand,1,stå,no,no,NA,NA,NA,NA,,,"GMM added this after the pilot (180828): from Appendix in Vukovic & Shtyrov [2014]. Can also be a noun, losing its leg association"
28,leg,step,0,,yes,yes,1,7,-6,6,5.09,noun,
2,leg,stomp,1,stampa,yes,yes,1.058823529,7,-5.941176471,5.941176471,3.5,noun,
-99,leg,straddle,0,,no,no,NA,NA,NA,NA,,,GMM added this after the pilot (180828): from Appendix in Kelpp et al. [2014]. Probably not an easy (nor frequent) verb...
