"verb","translation_simple","translation_details","comment","Score1","Score_comment1","Score2","Score_comment2","Agreed"
"roam","ropa/skrika","","",0,"",0,"",1
"roam","råma","","",0,"",0,"",1
"roam","stryka omkring, gå runt","","",1,"",1,"",1
"roam","ströva","","",1,"",1,"",1
"row","jag vet inte","","",0,"",0,"",1
"row","ro","","",1,"",1,"",1
"rub","gnida","","",1,"",1,"",1
"rub","gnida in","","",1,"",1,"",1
"rub","gnugga","","",1,"",1,"",1
"rub","jag vet inte","","",0,"",0,"",1
"rub","massera","inte helt säker men… massera","",1,"",1,"",1
"rub","skrubba","","",0,"",0,"",1
"run","springa","","",1,"",1,"",1
"rush","rusa","","",1,"",1,"",1
"rush","rusa, rusha","","",1,"",1,"",1
"rush","skynda","","",1,"",1,"",1
"rush","springa fort","","",1,"",1,"",1
"saunter","jag vet inte","har jag aldrig hört","",0,"",0,"",1
"saunter","jag vet inte","ingen aning","",0,"",0,"",1
"saunter","jag vet inte","osäker","",0,"",0,"",1
"saunter","jag vet inte","","",0,"",0,"",1
"saunter","vet inte","","",0,"",0,"",1
"scoop","jag vet inte","","",0,"",0,"",1
"scoop","skopa","","",1,"",1,"",1
"scoop","skyffla","jag tror skyffla eller nåt sånt","",1,"",1,"",1
"scoop","skyffla","","",1,"",1,"",1
"scoop","sleva upp","sleva upp, ta från typ glass tar och sätter in i mindre skål, va heter det på svenska?? Man gör det med glass i alla fall.. Jag vet inte, jag kommer inte på vad det heter på svenska. Hälla upp skulle jag säga, men inte med vatten. Typ sleva upp men det låter för vulgärt.","",1,"",1,"",1
"scoop","överblicka","","",0,"",0,"",1
"scrape","jag vet inte","","",0,"",0,"",1
"scrape","skrapa","kanske","",1,"",1,"",1
"scrape","skrapa","","",1,"",1,"",1
"scrape","skrapa, rispa","","",1,"",1,"",1
"scratch","jag vet inte","","",0,"",0,"",1
"scratch","klia","""riva, klösa. Nej klia""","",1,"",1,"",1
"scratch","klia","","",1,"",1,"",1
"scratch","klia, skrapa","klia, skrapa möjligen","",1,"",1,"",1
"scratch","klia, skrapa","","",1,"",1,"",1
"scratch","repa","","",1,"",1,"",1
"scratch","skrapa","","",1,"",1,"",1
"scrub","jag vet inte","","",0,"",0,"",1
"scrub","klia","","",0,"",0,"",1
"scrub","rengöra","","",1,"",1,"",1
"scrub","skrapa","skrapa tror jag","",0,"",0,"",1
"scrub","skrubba","en städterm, typ att skrubba en gryta eller nånting som är väldigt skitigt","",1,"",1,"",1
"scrub","skrubba","jag kanske bara hittar på jag vet inte","",1,"",1,"",1
"scrub","skrubba","","",1,"",1,"",1
"seize","beslagta","","",1,"",-99,"korrekt men inte den armrelaterade betydelsen vi menar",0
"seize","dra","jag tror att det betyder dra","",1,"",0,"",0
"seize","erövra","","",0,"",-99,"korrekt men inte den armrelaterade betydelsen vi menar",0
"seize","fånga","jag tänker typ fånga men jag vet inte","",1,"",1,"",1
"seize","fånga","","",1,"",1,"",1
"seize","gripa","","",1,"",1,"",1
"seize","ingen aning","","",0,"",0,"",1
"seize","jag vet inte","","",0,"",0,"",1
"shake","skaka","","",1,"",1,"",1
"shamble","jag vet inte","","",0,"",0,"",1
"shamble","vet inte","","",0,"",0,"",1
"sign","signera","","",1,"",1,"",1
