"verb","translation_simple","translation_details","comment","score","score_comment","coder"
"sprint","springa snabbt","nånting med springa snabbt att göra","","","",""
"sprint","springa, sprinta","","","","",""
"squat","gå ner på huk, huka","","","","",""
"squat","jag vet inte","","","","",""
"squat","jag vet inte","""squatta... Jag vet inte""","","","",""
"squat","benböj","","","","",""
"squat","benböja","","","","",""
"squat","benböj, göra benböj","","","","",""
"squat","sätta sig på huk","","","","",""
"squat","bo illegalt, att vara husockupant","","","","",""
"squat","huka sig","","","","",""
"squat","benhävning, benhäva sig","","","","",""
"squat","böja på benen","vet inte exakt nånting med att böja på benen","","","",""
"squeeze","klämma","","","","",""
"squeeze","jag vet inte","","","","",""
"squeeze","krama","","","","",""
"squeeze","pressa","","","","",""
"squeeze","trycka","","","","",""
"squeeze","trycka, vrida","","","","",""
"stab","knivhugga","","","","",""
"stab","hugga","","","","",""
"stab","jag vet inte","","","","",""
"stab","hugga med en kniv till exempel","","","","",""
"stagger","stappla","kanske","","","",""
"stagger","jag vet inte","","","","",""
"stagger","vackla","typ","","","",""
"stagger","avvakta","","","","",""
"stagger","pula, påla","","","","",""
"stagger","kämpa","","","","",""
"stagger","hacka, hugga","nånting med hacka eller hugga tror jag","","","",""
"stamp","stampa","","","","",""
"stamp","stampa",""" jag tänkte stampa men det kan ju vara stämpla, då är det ju fel""","","","",""
"stamp","stampa","kanske jag vet inte","","","",""
"stamp","jag vet inte","","","","",""
"stamp","stämpla","","","","",""
"stamp","stämpla","om jag inte har helt fel","","","",""
"stamp","frankera","","","","",""
"stand","stå, stå upp","","","","",""
"stand","stå","","","","",""
"step","gå","","","","",""
"step","kliva, ta ett steg","","","","",""
"step","stega","","","","",""
"step","steg","","","","",""
"step","kliva","","","","",""
"step","steg in","","","","",""
"step","gå, ta steg, stega","","","","",""
"step","ta ett steg","","","","",""
"step","stiga","","","","",""
"stir","röra","","","","",""
"stir","jag vet inte","","","","",""
"stir","blanda","typ","","","",""
"stir","röra om","","","","",""
"stir","stirra","","","","",""
"stir","röra runt","","","","",""
"stir","hälla","","","","",""
"stomp","stampa","","","","",""
"stomp","stampa","kan man väl göra med potatis också?","","","",""
"stomp","stampa","tror jag","","","",""
"stomp","jag vet inte","","","","",""
"stomp","jag vet inte","jag tror det har med ben och fötter att göra","","","",""
"straddle","vet inte","strosa kanske","","","",""
"straddle","jag vet inte","","","","",""
"straddle","grensla","","","","",""
"straddle","","är något ord för att gå","","","",""
"straddle","att kliva på typ en häst eller en cykel","","","","",""
"stray","gå","typ","","","",""
"stray","gå","typ att... Ja men typ gå","","","",""
"stray","strosa","","","","",""
"stray","vandra iväg, strosa","","","","",""
"stray","jag vet inte","","","","",""
"stray","gå omkring men inte snabbt","en synonym för att gå","","","",""
"stray","dröja sig kvar","","","","",""
"stray","strö","inte säker men tror det har med strö att göra","","","",""
"stray","ströva","","","","",""
"stride","promenera, gå, strosa","kanske","","","",""
"stride","jag vet inte","","","","",""
"stride","jag vet inte","man är ute och går","","","",""
"stride","jag vet inte","jag vet inte exakt, nånting som har med att ta sig fram på benen att göra","","","",""
"stride","skrida","","","","",""
"stride","promenera, gå","kanske","","","",""
"stride","strida","","","","",""
"stride","förflytta sig framåt","","","","",""
"stroll","gå","","","","",""
"stroll","strosa","","","","",""
"stroll","jag vet inte","","","","",""
"stroll","promenera","","","","",""
"stroll","gå, spatsera, lunka","det är en synonym till gå","","","",""
"stroll","flanera, gå mysigt","typ","","","",""
"stroll","gå omkring","","","","",""
"stroll","vandra, promenera","typ vandra… promenera kanske","","","",""
"strut","strosa","framåt på något sätt","","","",""
"strut","strutta","","","","",""
"strut","strutta","osäker","","","",""
"strut","jag vet inte","","","","",""
"strut","gå, spatsera","typ","","","",""
"strut","gå konstigt","känns som att det är någon som går konstigt, jag vet inte hur","","","",""
"strut","spatsera","","","","",""
"stumble","snubbla, snava","","","","",""
"stumble","jag vet inte","","","","",""
"stumble","snubbla","","","","",""
"stumble","vackla","","","","",""
"stumble","ostadig i benen","ostadigt i benen men kommer inte på den exakta översättningen","","","",""
"stumble","fumla","","","","",""
"stumble","halta lite grann","","","","",""
"sway","svaja","","","","",""
"sway","jag vet inte","","","","",""
"sway","sväva, flyga","","","","",""
"sway","svinga","","","","",""
"sway","svinga","jag tror det betyder svinga","","","",""
"sway","sväva ","eller nåt man gör när man dansar typ","","","",""
"sway","svassa","","","","",""
"switch","slå av/på, byta, knäppa","""knäppa kanske""","","","",""
"switch","jag vet inte","","","","",""
"switch","stänga av, ändra","","","","",""
"switch","byta","","","","",""
"switch","ändra","","","","",""
"switch","växla","","","","",""
"switch","slå på","jag är inte säker men jag gissar på slå på","","","",""
"throw","kasta","","","","",""
"throw","jag vet inte","","","","",""
"tiptoe","smyga","","","","",""
"tiptoe","smyga","kanske","","","",""
"tiptoe","tassa, gå på tå","","","","",""
"tiptoe","jag vet inte","","","","",""
"tiptoe","stå på tå","","","","",""
"tiptoe","trippa","","","","",""
"tiptoe","gå på tå","","","","",""
"tiptoe","smyga på tå","","","","",""
"tiptoe","tassa","","","","",""
"toddle","krypa","","","","",""
"toddle","stappla","""det måste ju ha med små barn att göra""","","","",""
"toddle","jag vet inte","","","","",""
"toddle","","instabil, benrelaterat tror jag","","","",""
"toddle","skaka om, skaka","","","","",""
"toddle","ta sig fram lite ostadigt","kommer inte exakt på något men att ta sig fram lite ostadigt","","","",""
"toss","dra","dra tror jag","","","",""
"toss","kasta","","","","",""
"toss","slänga","","","","",""
"toss","smyga","","","","",""
"toss","jag vet inte","","","","",""
"toss","jag vet inte","det är iaf fotrelaterat, men jag vet inte vad det betyder","","","",""
"toss","dra ","","","","",""
"totter","vet inte","","","","",""
"totter","jag vet inte","","","","",""
"totter","jag vet inte","osäker men jag tror det har mer med armar än med ben att göra","","","",""
"totter","promenera","jag vet inte känns som att typ promenera","","","",""
"traipse","ingen aning","","","","",""
"traipse","vet inte","","","","",""
"traipse","jag vet inte","","","","",""
"traipse","jag vet inte","inte en aning","","","",""
"traipse","jag vet inte","ingen aning","","","",""
"traipse","jag vet inte","osäker men tror att det har med ben att göra","","","",""
"traipse","trippa","fast jag vet inte","","","",""
"tramp","stå på, trampa på","","","","",""
"tramp","jag vet inte","","","","",""
"tramp","jag vet inte","osäker men tror att det har med ben att göra","","","",""
"tramp","trampa","","","","",""
"tramp","trampa","kanske","","","",""
"trample","vet inte","","","","",""
"trample","jag vet inte","","","","",""
"trample","trampa","","","","",""
"trample","trampa","""jag vet inte vad det är men det låter typ som trampa osäker""","","","",""
"tread","beträda, stå på","","","","",""
"tread","ingen aning","","","","",""
"tread","jag vet inte","","","","",""
"tread","gå försiktigt","typ","","","",""
"tread","trä en tråd i en nål","","","","",""
"tread","tråda","","","","",""
"tread","smyg","","","","",""
"tread","trä på nånting","","","","",""
"tread","trä","tror jag","","","",""
"trek","vandra","","","","",""
"trek","vandra","det känns som att det betyder att vandra ungefär","","","",""
"trek","jag vet inte","","","","",""
"trek","jag vet inte","låter benrelaterat","","","",""
"trek","hajka","","","","",""
"trek","hajka","också typ hajka","","","",""
"trek","vandra, promenera","eller nåt sånt","","","",""
"trip","snubbla, ramla","","","","",""
"trip","jag vet inte","","","","",""
"trip","snubbla","","","","",""
"trip","trilla","","","","",""
"trip","ramla","","","","",""
"trip","trippa, gå stilla/lugnt/försiktigt","","","","",""
"trot","strutta","kanske","","","",""
"trot","jag vet inte","","","","",""
"trot","jag vet inte","tror att det är benrelaterat","","","",""
"trot","trava","","","","",""
"trot","smyga, gå lite försiktigt","","","","",""
"trudge","vet inte","","","","",""
"trudge","jag vet inte","","","","",""
"trudge","jag vet inte","""ingen aning""","","","",""
"trudge","truga","","","","",""
"trudge","trycka in, pressa in mellan","","","","",""
"tug","dra","","","","",""
"tug","ingen aning","","","","",""
"tug","vet inte","","","","",""
"tug","jag vet inte","","","","",""
"tug","jag vet inte","aldrig hört","","","",""
"tug","krama","""typ krama kanske""","","","",""
"tug","drag","","","","",""
"tug","dra ","","","","",""
"tug","bogsera","","","","",""
"twine","tvinna","","","","",""
"twine","jag vet inte","","","","",""
"twine","tvina","","","","",""
"twine","tvinna ","twine tror jag betyder tvinna","","","",""
"waddle","vet inte","","","","",""
"waddle","vingla","typ vingla kanske","","","",""
"waddle","jag vet inte","","","","",""
"waddle","jag vet inte","har med gå att göra","","","",""
"waddle","vanka","","","","",""
"wade","vada","","","","",""
"wade","jag vet inte","","","","",""
"walk","gå","","","","",""
"walk","promenera","","","","",""
"walk","promenera, gå","","","","",""
"wander","strosa","","","","",""
"wander","vandra","","","","",""
"wander","vandra","kanske","","","",""
"wander","vandra","typ","","","",""
"wander","vandra","nej skit samma det är inte det","","","",""
"wander","jag vet inte","","","","",""
"wander","gå omkring lite förvirrat","","","","",""
"wander","undra","","","","",""
"wander","vandra, gå omkring","","","","",""
"wash","tvätta","","","","",""
"whip","piska, vispa","","","","",""
"whip","jag vet inte","","","","",""
"whip","piska","","","","",""
"whip","piska","kanske","","","",""
"whip","vippa","det gör man med handen, jag kommer inte på ordet vippa","","","",""
"whip","vispa","","","","",""
"wipe","ingen aning","""wimp, ingen aning""","","","",""
"wipe","torka","","","","",""
"wipe","jag vet inte","","","","",""
"wipe","piska","","","","",""
"wipe","torka av","","","","",""
"wipe","sudda","","","","",""
"wobble","vingla","","","","",""
"wobble","jag vet inte","","","","",""
"wobble","jag vet inte","aldrig hört","","","",""
"wobble","snubbla","","","","",""
"wobble","vaja","typ vaja eller om man är instabil på ngt sätt","","","",""
"wobble","vanka","","","","",""
"wobble","vibrera","","","","",""
"wobble","vila","","","","",""
"wrap","slå in","","","","",""
"wrap","avsluta","","","","",""
"wrap","jag vet inte","","","","",""
"wrap","vira in","","","","",""
"wrap","omfamna, slå in","typ","","","",""
"wrap","vira, vira ihop","","","","",""
"wrap","inlinda","","","","",""
"wrap","linda","","","","",""
