"expName","date","participant","trial","verb","target","distrOne","distrTwo","w1","w2","w3","corr_answer","answer","correct","type"
"verb_norming","2018_Jun_08_1550",901,39,"cut","skära","sticka","spetsa","spetsa","sticka","skära",3,3,1,"arm"
"verb_norming","2018_Jun_08_1550",901,40,"ramble","ströva","strutta","spurta","spurta","ströva","strutta",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,41,"plod","lunka","pulsa","vingla","pulsa","lunka","vingla",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,42,"twine","tvinna","binda","knyta","knyta","binda","tvinna",3,3,1,"arm"
"verb_norming","2018_Jun_08_1550",901,43,"stray","ströva","vandra","promenera","vandra","ströva","promenera",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,44,"jump","hoppa","kliva","lyfta","lyfta","kliva","hoppa",3,3,1,"leg"
"verb_norming","2018_Jun_08_1550",901,45,"climb","klättra","kliva","krypa","kliva","krypa","klättra",3,3,1,"leg"
"verb_norming","2018_Jun_08_1550",901,46,"rub","gnugga","riva","klappa","gnugga","klappa","riva",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,47,"wipe","torka","putsa","gnugga","torka","gnugga","putsa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,48,"flee","fly","lyfta","flyga","lyfta","fly","flyga",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,49,"rush","rusa","springa","löpa","rusa","löpa","springa",1,1,1,"leg"
"verb_norming","2018_Jun_08_1550",901,50,"knock","knacka","krocka","klicka","klicka","krocka","knacka",3,3,1,"arm"
"verb_norming","2018_Jun_08_1550",901,51,"seize","fånga","klämma","fästa","klämma","fästa","fånga",3,3,1,"arm"
"verb_norming","2018_Jun_08_1550",901,52,"inch","röra sig långsamt framåt","dra sig snabbt tillbaka","hasa sig bakåt","röra sig långsamt framåt","hasa sig bakåt","dra sig snabbt tillbaka",1,1,1,"leg"
"verb_norming","2018_Jun_08_1550",901,53,"hop","skutta","kliva","studsa","studsa","skutta","kliva",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,54,"stab","sticka","hacka","skära","hacka","sticka","skära",2,2,1,"arm"
