word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
POKE,peta,trycka,knuffa,2,knuffa,peta,trycka,Arm,arm,0,28,28,51,0,0,0,0,,,,,,,,,,,,,6,6.702,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
POKE,peta,trycka,knuffa,2,knuffa,peta,trycka,Leg,leg,0,28,28,51,0,1,1,1,,,,,,,,,,,,,5,2.058,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
POKE,peta,trycka,knuffa,2,knuffa,peta,trycka,,,0,28,28,51,,,,,,,,,,,,,,,,,,,return,3.92481203602,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
CRAWL,kravla,huka,klättra,2,klättra,kravla,huka,Arm,arm,0,29,29,14,0,0,0,0,,,,,,,,,,,,,5,16.159,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
CRAWL,kravla,huka,klättra,2,klättra,kravla,huka,Leg,leg,0,29,29,14,0,1,1,1,,,,,,,,,,,,,5,1.924,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
CRAWL,kravla,huka,klättra,2,klättra,kravla,huka,,,0,29,29,14,,,,,,,,,,,,,,,,,,,return,2.23086192979,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
WHIP,piska,klappa,slå,2,slå,piska,klappa,Arm,arm,0,30,30,108,0,0,0,0,,,,,,,,,,,,,4,10.844,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
WHIP,piska,klappa,slå,2,slå,piska,klappa,Leg,leg,0,30,30,108,0,1,1,1,,,,,,,,,,,,,1,1.472,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
WHIP,piska,klappa,slå,2,slå,piska,klappa,,,0,30,30,108,,,,,,,,,,,,,,,,,,,return,3.69005036474,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SNEAK,smyga,hasa,glida,3,hasa,glida,smyga,Arm,arm,0,31,31,78,0,0,0,0,,,,,,,,,,,,,4,10.909,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SNEAK,smyga,hasa,glida,3,hasa,glida,smyga,Leg,leg,0,31,31,78,0,1,1,1,,,,,,,,,,,,,5,3.835,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SNEAK,smyga,hasa,glida,3,hasa,glida,smyga,,,0,31,31,78,,,,,,,,,,,,,,,,,,,return,2.11363815061,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
ROLL,vingla,snubbla,svassa,3,snubbla,svassa,vingla,Arm,arm,0,32,32,59,0,0,0,0,,,,,,,,,,,,,3,6.232,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
ROLL,vingla,snubbla,svassa,3,snubbla,svassa,vingla,Leg,leg,0,32,32,59,0,1,1,1,,,,,,,,,,,,,3,3.97,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
ROLL,vingla,snubbla,svassa,3,snubbla,svassa,vingla,,,0,32,32,59,,,,,,,,,,,,,,,,,,,return,3.47201925611,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
STAGGER,ragla,lunka,halka,2,halka,ragla,lunka,Arm,arm,0,33,33,82,0,0,0,0,,,,,,,,,,,,,3,31.989,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
STAGGER,ragla,lunka,halka,2,halka,ragla,lunka,Leg,leg,0,33,33,82,0,1,1,1,,,,,,,,,,,,,3,4.554,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
STAGGER,ragla,lunka,halka,2,halka,ragla,lunka,,,0,33,33,82,,,,,,,,,,,,,,,,,,,return,23.0439078491,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
TRIP,snubbla,stampa,stappla,1,snubbla,stappla,stampa,Arm,arm,0,34,34,99,0,0,0,0,,,,,,,,,,,,,1,7.959,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
TRIP,snubbla,stampa,stappla,1,snubbla,stappla,stampa,Leg,leg,0,34,34,99,0,1,1,1,,,,,,,,,,,,,7,1.605,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
TRIP,snubbla,stampa,stappla,1,snubbla,stappla,stampa,,,0,34,34,99,,,,,,,,,,,,,,,,,,,return,4.29379000742,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
RUSH,rusa,springa,löpa,2,löpa,rusa,springa,Arm,arm,0,35,35,62,0,0,0,0,,,,,,,,,,,,,1,6.131,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
RUSH,rusa,springa,löpa,2,löpa,rusa,springa,Leg,leg,0,35,35,62,0,1,1,1,,,,,,,,,,,,,5,4.624,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
RUSH,rusa,springa,löpa,2,löpa,rusa,springa,,,0,35,35,62,,,,,,,,,,,,,,,,,,,return,6.5747725052,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
BRUSH,borsta,skrubba,putsa,1,borsta,putsa,skrubba,Arm,arm,0,36,36,4,0,0,0,0,,,,,,,,,,,,,6,9.317,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
BRUSH,borsta,skrubba,putsa,1,borsta,putsa,skrubba,Leg,leg,0,36,36,4,0,1,1,1,,,,,,,,,,,,,1,1.337,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
BRUSH,borsta,skrubba,putsa,1,borsta,putsa,skrubba,,,0,36,36,4,,,,,,,,,,,,,,,,,,,return,3.38816256588,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
