word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
CRAWL,kravla,huka,klättra,2,huka,kravla,klättra,Arm,arm,0,17,17,14,0,0,0,0,,,,,,,,,4,4.605,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
CRAWL,kravla,huka,klättra,2,huka,kravla,klättra,Leg,leg,0,17,17,14,0,1,1,1,,,,,,,,,4,1.167,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
CRAWL,kravla,huka,klättra,2,huka,kravla,klättra,,,0,17,17,14,,,,,,,,,,,,,,,2,1,2.08011069589,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
CATCH,fånga,krama,omfamna,2,krama,fånga,omfamna,Arm,arm,0,18,18,6,0,0,0,0,,,,,,,,,7,3.293,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
CATCH,fånga,krama,omfamna,2,krama,fånga,omfamna,Leg,leg,0,18,18,6,0,1,1,1,,,,,,,,,1,1.371,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
CATCH,fånga,krama,omfamna,2,krama,fånga,omfamna,,,0,18,18,6,,,,,,,,,,,,,,,2,1,1.77808667121,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
PUSH,knuffa,kasta,klämma,2,kasta,knuffa,klämma,Arm,arm,0,19,19,56,0,0,0,0,,,,,,,,,7,3.096,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
PUSH,knuffa,kasta,klämma,2,kasta,knuffa,klämma,Leg,leg,0,19,19,56,0,1,1,1,,,,,,,,,4,7.912,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
PUSH,knuffa,kasta,klämma,2,kasta,knuffa,klämma,,,0,19,19,56,,,,,,,,,,,,,,,2,1,2.09677750743,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
DIG,gräva,dränera,dika,2,dika,gräva,dränera,Arm,arm,0,20,20,19,0,0,0,0,,,,,,,,,7,3.9,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
DIG,gräva,dränera,dika,2,dika,gräva,dränera,Leg,leg,0,20,20,19,0,1,1,1,,,,,,,,,1,2.293,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
DIG,gräva,dränera,dika,2,dika,gräva,dränera,,,0,20,20,19,,,,,,,,,,,,,,,2,1,3.79051743689,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
CLICK,klicka,klappa,klämma,2,klämma,klicka,klappa,Arm,arm,0,21,21,11,0,0,0,0,,,,,,,,,7,6.935,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
CLICK,klicka,klappa,klämma,2,klämma,klicka,klappa,Leg,leg,0,21,21,11,0,1,1,1,,,,,,,,,1,1.89,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
CLICK,klicka,klappa,klämma,2,klämma,klicka,klappa,,,0,21,21,11,,,,,,,,,,,,,,,2,1,6.02119642909,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
GRASP,gripa,klämma,omfamna,2,klämma,gripa,omfamna,Arm,arm,0,22,22,27,0,0,0,0,,,,,,,,,7,2.273,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
GRASP,gripa,klämma,omfamna,2,klämma,gripa,omfamna,Leg,leg,0,22,22,27,0,1,1,1,,,,,,,,,1,2.008,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
GRASP,gripa,klämma,omfamna,2,klämma,gripa,omfamna,,,0,22,22,27,,,,,,,,,,,,,,,2,1,5.90368082791,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SKIP,hoppa,kliva,strutta,3,kliva,strutta,hoppa,Arm,arm,0,23,23,72,0,0,0,0,,,,,,,,,1,5.343,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SKIP,hoppa,kliva,strutta,3,kliva,strutta,hoppa,Leg,leg,0,23,23,72,0,1,1,1,,,,,,,,,7,2.176,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SKIP,hoppa,kliva,strutta,3,kliva,strutta,hoppa,,,0,23,23,72,,,,,,,,,,,,,,,3,1,3.37149264806,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
STIR,röra,sleva,vispa,3,sleva,vispa,röra,Arm,arm,0,24,24,85,0,0,0,0,,,,,,,,,7,2.743,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
STIR,röra,sleva,vispa,3,sleva,vispa,röra,Leg,leg,0,24,24,85,0,1,1,1,,,,,,,,,1,2.528,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
STIR,röra,sleva,vispa,3,sleva,vispa,röra,,,0,24,24,85,,,,,,,,,,,,,,,3,1,1.62726036371,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SLITHER,hasa,glida,trilla,2,glida,hasa,trilla,Arm,arm,0,25,25,76,0,0,0,0,,,,,,,,,4,4.251,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SLITHER,hasa,glida,trilla,2,glida,hasa,trilla,Leg,leg,0,25,25,76,0,1,1,1,,,,,,,,,4,0.833,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SLITHER,hasa,glida,trilla,2,glida,hasa,trilla,,,0,25,25,76,,,,,,,,,,,,,,,2,1,3.0190473895,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
WADE,vada,pulsa,plöja,1,vada,pulsa,plöja,Arm,arm,0,26,26,104,0,0,0,0,,,,,,,,,1,3.463,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
WADE,vada,pulsa,plöja,1,vada,pulsa,plöja,Leg,leg,0,26,26,104,0,1,1,1,,,,,,,,,7,1.437,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
WADE,vada,pulsa,plöja,1,vada,pulsa,plöja,,,0,26,26,104,,,,,,,,,,,,,,,1,1,1.27494233272,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SCRAPE,skrapa,rispa,klösa,3,rispa,klösa,skrapa,Arm,arm,0,27,27,64,0,0,0,0,,,,,,,,,4,3.749,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SCRAPE,skrapa,rispa,klösa,3,rispa,klösa,skrapa,Leg,leg,0,27,27,64,0,1,1,1,,,,,,,,,4,0.715,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SCRAPE,skrapa,rispa,klösa,3,rispa,klösa,skrapa,,,0,27,27,64,,,,,,,,,,,,,,,3,1,5.66918421841,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
BRAID,fläta,knyta,binda,3,binda,knyta,fläta,Arm,arm,0,28,28,3,0,0,0,0,,,,,,,,,7,3.41,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
BRAID,fläta,knyta,binda,3,binda,knyta,fläta,Leg,leg,0,28,28,3,0,1,1,1,,,,,,,,,1,1.453,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
BRAID,fläta,knyta,binda,3,binda,knyta,fläta,,,0,28,28,3,,,,,,,,,,,,,,,3,1,1.67744689829,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
MOUNT,gå uppför,ströva runt,kliva över,2,ströva runt,gå uppför,kliva över,Arm,arm,0,29,29,43,0,0,0,0,,,,,,,,,4,8.023,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
MOUNT,gå uppför,ströva runt,kliva över,2,ströva runt,gå uppför,kliva över,Leg,leg,0,29,29,43,0,1,1,1,,,,,,,,,7,1.402,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
MOUNT,gå uppför,ströva runt,kliva över,2,ströva runt,gå uppför,kliva över,,,0,29,29,43,,,,,,,,,,,,,,,2,1,2.58322263481,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
GLIDE,glida,hasa,snava,3,hasa,snava,glida,Arm,arm,0,30,30,25,0,0,0,0,,,,,,,,,4,5.106,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
GLIDE,glida,hasa,snava,3,hasa,snava,glida,Leg,leg,0,30,30,25,0,1,1,1,,,,,,,,,4,1.721,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
GLIDE,glida,hasa,snava,3,hasa,snava,glida,,,0,30,30,25,,,,,,,,,,,,,,,3,1,2.58313254821,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SKIM,skumma,vispa,sleva,1,skumma,sleva,vispa,Arm,arm,0,31,31,71,0,0,0,0,,,,,,,,,4,4.989,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SKIM,skumma,vispa,sleva,1,skumma,sleva,vispa,Leg,leg,0,31,31,71,0,1,1,1,,,,,,,,,4,0.582,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SKIM,skumma,vispa,sleva,1,skumma,sleva,vispa,,,0,31,31,71,,,,,,,,,,,,,,,1,1,6.65860457435,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
FILE,fila,putsa,riva,2,riva,fila,putsa,Arm,arm,0,32,32,21,0,0,0,0,,,,,,,,,7,5.544,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
FILE,fila,putsa,riva,2,riva,fila,putsa,Leg,leg,0,32,32,21,0,1,1,1,,,,,,,,,1,1.858,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
FILE,fila,putsa,riva,2,riva,fila,putsa,,,0,32,32,21,,,,,,,,,,,,,,,2,1,6.22240208811,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
BASH,slå,knuffa,trycka,1,slå,trycka,knuffa,Arm,arm,0,33,33,0,0,0,0,0,,,,,,,,,7,4.186,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
BASH,slå,knuffa,trycka,1,slå,trycka,knuffa,Leg,leg,0,33,33,0,0,1,1,1,,,,,,,,,1,1.253,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
BASH,slå,knuffa,trycka,1,slå,trycka,knuffa,,,0,33,33,0,,,,,,,,,,,,,,,1,1,1.86208531517,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
CHOP,hacka,tälja,riva,3,tälja,riva,hacka,Arm,arm,0,34,34,7,0,0,0,0,,,,,,,,,7,2.038,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
CHOP,hacka,tälja,riva,3,tälja,riva,hacka,Leg,leg,0,34,34,7,0,1,1,1,,,,,,,,,1,1.384,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
CHOP,hacka,tälja,riva,3,tälja,riva,hacka,,,0,34,34,7,,,,,,,,,,,,,,,3,1,2.44892089685,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SKATE,åka skridskor,åka skidor,åka kälke,3,åka kälke,åka skidor,åka skridskor,Arm,arm,0,35,35,70,0,0,0,0,,,,,,,,,1,3.715,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SKATE,åka skridskor,åka skidor,åka kälke,3,åka kälke,åka skidor,åka skridskor,Leg,leg,0,35,35,70,0,1,1,1,,,,,,,,,7,1.203,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SKATE,åka skridskor,åka skidor,åka kälke,3,åka kälke,åka skidor,åka skridskor,,,0,35,35,70,,,,,,,,,,,,,,,3,1,4.00785136343,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
RUB,gnugga,riva,klappa,3,riva,klappa,gnugga,Arm,arm,0,36,36,60,0,0,0,0,,,,,,,,,7,5.075,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
RUB,gnugga,riva,klappa,3,riva,klappa,gnugga,Leg,leg,0,36,36,60,0,1,1,1,,,,,,,,,1,1.406,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
RUB,gnugga,riva,klappa,3,riva,klappa,gnugga,,,0,36,36,60,,,,,,,,,,,,,,,3,1,3.17014040076,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
PULL,dra,slänga,släpa,1,dra,slänga,släpa,Arm,arm,0,37,37,54,0,0,0,0,,,,,,,,,7,2.291,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
PULL,dra,slänga,släpa,1,dra,slänga,släpa,Leg,leg,0,37,37,54,0,1,1,1,,,,,,,,,1,2.746,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
PULL,dra,slänga,släpa,1,dra,slänga,släpa,,,0,37,37,54,,,,,,,,,,,,,,,1,1,1.610328824,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
ROAM,ströva omkring,ta sig fram,luffa runt,2,ta sig fram,ströva omkring,luffa runt,Arm,arm,0,38,38,58,0,0,0,0,,,,,,,,,1,4.904,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
ROAM,ströva omkring,ta sig fram,luffa runt,2,ta sig fram,ströva omkring,luffa runt,Leg,leg,0,38,38,58,0,1,1,1,,,,,,,,,4,2.576,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
