word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,date,frameRate,expName,session,participant,
STOMP,stampa,stiga,kliva,2,kliva,stampa,stiga,Leg,leg,0,15,15,86,0,1,1,1,,,,,,,,,,,,,7,1.985,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
STOMP,stampa,stiga,kliva,2,kliva,stampa,stiga,,,0,15,15,86,,,,,,,,,,,,,,,,,,,2,1,4.83036732417,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SNATCH,rycka till sig,knuffa ifrån sig,plocka åt sig,1,rycka till sig,plocka åt sig,knuffa ifrån sig,Arm,arm,0,16,16,77,0,0,0,0,,,,,,,,,,,,,7,5.079,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SNATCH,rycka till sig,knuffa ifrån sig,plocka åt sig,1,rycka till sig,plocka åt sig,knuffa ifrån sig,Leg,leg,0,16,16,77,0,1,1,1,,,,,,,,,,,,,1,4.16,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SNATCH,rycka till sig,knuffa ifrån sig,plocka åt sig,1,rycka till sig,plocka åt sig,knuffa ifrån sig,,,0,16,16,77,,,,,,,,,,,,,,,,,,,1,1,12.109329969,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SCRATCH,repa,riva,klösa,1,repa,riva,klösa,Arm,arm,0,17,17,65,0,0,0,0,,,,,,,,,,,,,7,6.774,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SCRATCH,repa,riva,klösa,1,repa,riva,klösa,Leg,leg,0,17,17,65,0,1,1,1,,,,,,,,,,,,,2,4.649,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SCRATCH,repa,riva,klösa,1,repa,riva,klösa,,,0,17,17,65,,,,,,,,,,,,,,,,,,,2,0,10.7848277568,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
STUMBLE,snubbla,glida,svaja,2,svaja,snubbla,glida,Arm,arm,0,18,18,91,0,0,0,0,,,,,,,,,,,,,1,9.291,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
STUMBLE,snubbla,glida,svaja,2,svaja,snubbla,glida,Leg,leg,0,18,18,91,0,1,1,1,,,,,,,,,,,,,7,5.368,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
STUMBLE,snubbla,glida,svaja,2,svaja,snubbla,glida,,,0,18,18,91,,,,,,,,,,,,,,,,,,,2,1,10.6169908862,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
GLIDE,glida,hasa,snava,1,glida,hasa,snava,Arm,arm,0,19,19,25,0,0,0,0,,,,,,,,,,,,,2,24.218,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
GLIDE,glida,hasa,snava,1,glida,hasa,snava,Leg,leg,0,19,19,25,0,1,1,1,,,,,,,,,,,,,5,8.723,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
GLIDE,glida,hasa,snava,1,glida,hasa,snava,,,0,19,19,25,,,,,,,,,,,,,,,,,,,1,1,5.33404862622,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
LIFT,lyfta,pressa,öka,3,öka,pressa,lyfta,Arm,arm,0,20,20,40,0,0,0,0,,,,,,,,,,,,,7,4.937,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
LIFT,lyfta,pressa,öka,3,öka,pressa,lyfta,Leg,leg,0,20,20,40,0,1,1,1,,,,,,,,,,,,,4,6.946,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
LIFT,lyfta,pressa,öka,3,öka,pressa,lyfta,,,0,20,20,40,,,,,,,,,,,,,,,,,,,3,1,4.10975432435,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
PAT,klappa,slå,borsta,2,borsta,klappa,slå,Arm,arm,0,21,21,46,0,0,0,0,,,,,,,,,,,,,7,4.782,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
PAT,klappa,slå,borsta,2,borsta,klappa,slå,Leg,leg,0,21,21,46,0,1,1,1,,,,,,,,,,,,,1,7.825,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
PAT,klappa,slå,borsta,2,borsta,klappa,slå,,,0,21,21,46,,,,,,,,,,,,,,,,,,,2,1,2.76778755999,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
