item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,arm,clap,whip,wash,clean,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,3,3,3,,,,,space,9.37533776883,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,stir,file,pat,pull,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,4,4,4,,,,,space,5.5011756469,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,flit,plod,ramble,strut,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,5,5,5,,,,,space,7.53121815668,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,push,skim,tug,poke,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,6,6,6,,,,,space,9.30803568783,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,jog,march,flee,pace,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,7,7,7,,,,,space,6.15522174111,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,bash,stab,carve,grip,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,8,8,8,,,,,space,9.14051341257,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,bounce,tiptoe,scuff,sprint,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,9,9,9,,,,,space,11.387786864,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,glide,run,trot,trudge,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,10,10,10,,,,,space,11.455495117,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,fold,rub,dig,grab,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,11,11,11,,,,,space,11.2704307913,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,trip,kick,roam,stamp,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,12,12,12,,,,,space,7.71575303631,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
