word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
TUG,rycka,pressa,slå,3,pressa,slå,rycka,Leg,leg,0,35,35,102,0,1,1,1,,,,,,,,,,,1,1.771,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
TUG,rycka,pressa,slå,3,pressa,slå,rycka,,,0,35,35,102,,,,,,,,,,,,,,,,,3,1,3.89254248887,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
RUSH,rusa,springa,löpa,3,löpa,springa,rusa,Arm,arm,0,36,36,62,0,0,0,0,,,,,,,,,,,1,3.079,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
RUSH,rusa,springa,löpa,3,löpa,springa,rusa,Leg,leg,0,36,36,62,0,1,1,1,,,,,,,,,,,7,1.673,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
RUSH,rusa,springa,löpa,3,löpa,springa,rusa,,,0,36,36,62,,,,,,,,,,,,,,,,,3,1,1.77805348141,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
WASH,tvätta,skura,sopa,3,skura,sopa,tvätta,Arm,arm,0,37,37,107,0,0,0,0,,,,,,,,,,,7,16.646,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
WASH,tvätta,skura,sopa,3,skura,sopa,tvätta,Leg,leg,0,37,37,107,0,1,1,1,,,,,,,,,,,1,1.623,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
WASH,tvätta,skura,sopa,3,skura,sopa,tvätta,,,0,37,37,107,,,,,,,,,,,,,,,,,3,1,1.05700269232,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
CLICK,klicka,klappa,klämma,2,klämma,klicka,klappa,Arm,arm,0,38,38,11,0,0,0,0,,,,,,,,,,,7,2.088,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
CLICK,klicka,klappa,klämma,2,klämma,klicka,klappa,Leg,leg,0,38,38,11,0,1,1,1,,,,,,,,,,,1,1.471,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
CLICK,klicka,klappa,klämma,2,klämma,klicka,klappa,,,0,38,38,11,,,,,,,,,,,,,,,,,2,1,1.47628865328,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
