item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,leg,roll,sneak,sprint,flit,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,16,16,16,,,,,space,8.20132109175,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,hike,step,march,trot,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,17,17,17,,,,,space,5.70117233262,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,dunk,clap,scratch,knock,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,18,18,18,,,,,space,5.26592917959,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,trudge,tiptoe,hop,dance,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,19,19,19,,,,,space,7.17833632366,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,braid,pat,polish,rub,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,20,20,20,,,,,space,5.16524275397,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,prance,inch,stamp,wander,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,21,21,21,,,,,space,6.35649484756,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,scoop,wash,fold,cut,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,22,22,22,,,,,space,6.1045972302,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,claw,switch,click,wrap,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,23,23,23,,,,,space,6.35605311393,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,file,poke,bind,chop,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,24,24,24,,,,,space,5.51800657227,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,climb,skate,kick,sway,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,25,25,25,,,,,space,5.95404508291,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,trek,limp,crawl,run,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,26,26,26,,,,,space,4.91422030655,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,creep,stray,roam,mount,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,27,27,27,,,,,space,5.85356174413,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,,,,,,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,,,,,,,,,,,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,trip,walk,jump,kick,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,0,0,0,,,,,space,4.41185300148,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,climb,prance,tiptoe,jog,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,1,1,1,,,,,space,6.0712842714,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,cut,delve,whip,braid,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,2,2,2,,,,,space,5.5682591072,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,hike,flee,tread,trudge,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,3,3,3,,,,,space,4.93103502774,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,twine,wash,nip,snatch,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,4,4,4,,,,,space,5.93719519688,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,stroll,roll,wander,stride,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,5,5,5,,,,,space,6.79281191116,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,skip,run,skate,creep,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,6,6,6,,,,,space,5.93635558688,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,throw,hack,toss,grate,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,7,7,7,,,,,space,5.78647710314,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,slap,bash,seize,fold,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,8,8,8,,,,,space,4.88066593518,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,stab,lift,tug,peel,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,9,9,9,,,,,space,5.68508975135,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,kneel,wobble,pace,mount,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,10,10,10,,,,,space,6.25599293858,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,clean,polish,squeeze,brush,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,11,11,11,,,,,space,5.55153012501,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,roam,trot,wade,hop,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,12,12,12,,,,,space,6.17210147862,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,dig,grasp,claw,grip,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,13,13,13,,,,,space,6.27187519879,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,clap,wrap,click,skim,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,14,14,14,,,,,space,5.48455216388,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,scoop,clutch,chop,carve,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,15,15,15,,,,,space,12.4779174669,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,sway,trek,rush,limp,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,16,16,16,,,,,space,5.33346503686,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,scuff,slide,flit,bounce,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,17,17,17,,,,,space,5.33433388504,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,bind,punch,scratch,scrub,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,18,18,18,,,,,space,5.21528588029,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,strut,step,sprint,stamp,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,19,19,19,,,,,space,7.02741632842,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,sneak,crawl,stagger,traipse,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,20,20,20,,,,,space,7.36288971239,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
