word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
PACE,gå fram och tillbaka,luffa runt,rusa fram,1,gå fram och tillbaka,luffa runt,rusa fram,,,0,15,15,45,,,,,,,,,,,,,,,,,,,1,1,1.92974645459,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
RUB,gnugga,riva,klappa,3,riva,klappa,gnugga,Leg,leg,0,16,16,60,0,0,0,0,,,,,,,,,,,,,1,4.17,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
RUB,gnugga,riva,klappa,3,riva,klappa,gnugga,Arm,arm,0,16,16,60,0,1,1,1,,,,,,,,,,,,,7,1.053,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
RUB,gnugga,riva,klappa,3,riva,klappa,gnugga,,,0,16,16,60,,,,,,,,,,,,,,,,,,,3,1,5.08178559251,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
NIP,nypa,peta,nudda,1,nypa,peta,nudda,Leg,leg,0,17,17,44,0,0,0,0,,,,,,,,,,,,,1,5.292,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
NIP,nypa,peta,nudda,1,nypa,peta,nudda,Arm,arm,0,17,17,44,0,1,1,1,,,,,,,,,,,,,7,0.882,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
NIP,nypa,peta,nudda,1,nypa,peta,nudda,,,0,17,17,44,,,,,,,,,,,,,,,,,,,1,1,3.62284156879,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
KICK,sparka,knäa,tåa,3,tåa,knäa,sparka,Leg,leg,0,18,18,36,0,0,0,0,,,,,,,,,,,,,7,2.66,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
KICK,sparka,knäa,tåa,3,tåa,knäa,sparka,Arm,arm,0,18,18,36,0,1,1,1,,,,,,,,,,,,,1,4.726,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
KICK,sparka,knäa,tåa,3,tåa,knäa,sparka,,,0,18,18,36,,,,,,,,,,,,,,,,,,,3,1,6.72565565379,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
STEP,gå,klampa,traska,3,traska,klampa,gå,Leg,leg,0,19,19,84,0,0,0,0,,,,,,,,,,,,,7,2.978,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
STEP,gå,klampa,traska,3,traska,klampa,gå,Arm,arm,0,19,19,84,0,1,1,1,,,,,,,,,,,,,1,1.153,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
STEP,gå,klampa,traska,3,traska,klampa,gå,,,0,19,19,84,,,,,,,,,,,,,,,,,,,3,1,8.57034659359,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
BIND,binda,linda,vinda,2,linda,binda,vinda,Leg,leg,0,20,20,1,0,0,0,0,,,,,,,,,,,,,4,4.52,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
BIND,binda,linda,vinda,2,linda,binda,vinda,Arm,arm,0,20,20,1,0,1,1,1,,,,,,,,,,,,,4,1.488,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
BIND,binda,linda,vinda,2,linda,binda,vinda,,,0,20,20,1,,,,,,,,,,,,,,,,,,,2,1,2.46567431084,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
THROW,kasta,greppa,träffa,3,greppa,träffa,kasta,Leg,leg,0,21,21,94,0,0,0,0,,,,,,,,,,,,,1,4.468,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
THROW,kasta,greppa,träffa,3,greppa,träffa,kasta,Arm,arm,0,21,21,94,0,1,1,1,,,,,,,,,,,,,7,1.235,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
THROW,kasta,greppa,träffa,3,greppa,träffa,kasta,,,0,21,21,94,,,,,,,,,,,,,,,,,,,3,1,3.06937363761,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
SWITCH,slå på/av,knäppa,nypa,3,nypa,knäppa,slå på/av,Leg,leg,0,22,22,93,0,0,0,0,,,,,,,,,,,,,1,15.405,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
SWITCH,slå på/av,knäppa,nypa,3,nypa,knäppa,slå på/av,Arm,arm,0,22,22,93,0,1,1,1,,,,,,,,,,,,,7,0.766,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
SWITCH,slå på/av,knäppa,nypa,3,nypa,knäppa,slå på/av,,,0,22,22,93,,,,,,,,,,,,,,,,,,,3,1,3.27077611661,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
PAT,klappa,slå,borsta,1,klappa,borsta,slå,Leg,leg,0,23,23,46,0,0,0,0,,,,,,,,,,,,,1,3.565,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
PAT,klappa,slå,borsta,1,klappa,borsta,slå,Arm,arm,0,23,23,46,0,1,1,1,,,,,,,,,,,,,7,1.154,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
PAT,klappa,slå,borsta,1,klappa,borsta,slå,,,0,23,23,46,,,,,,,,,,,,,,,,,,,1,1,2.75079209482,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
