word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
SLITHER,hasa,glida,trilla,1,hasa,glida,trilla,Leg,leg,0,23,23,76,0,1,1,1,,,,,,,,,,,,,3,0.497,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
SLITHER,hasa,glida,trilla,1,hasa,glida,trilla,,,0,23,23,76,,,,,,,,,,,,,,,,,,,return,2.58316755283,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
POLISH,polera,sopa,tvätta,2,sopa,polera,tvätta,Arm,arm,0,24,24,52,0,0,0,0,,,,,,,,,,,,,7,4.051,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
POLISH,polera,sopa,tvätta,2,sopa,polera,tvätta,Leg,leg,0,24,24,52,0,1,1,1,,,,,,,,,,,,,1,0.8,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
POLISH,polera,sopa,tvätta,2,sopa,polera,tvätta,,,0,24,24,52,,,,,,,,,,,,,,,,,,,return,2.08009578985,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
KNOCK,knacka,krocka,klicka,1,knacka,klicka,krocka,Arm,arm,0,25,25,38,0,0,0,0,,,,,,,,,,,,,7,3.364,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
KNOCK,knacka,krocka,klicka,1,knacka,klicka,krocka,Leg,leg,0,25,25,38,0,1,1,1,,,,,,,,,,,,,1,1.453,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
KNOCK,knacka,krocka,klicka,1,knacka,klicka,krocka,,,0,25,25,38,,,,,,,,,,,,,,,,,,,return,4.14284912782,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STEP,gå,klampa,traska,2,traska,gå,klampa,Arm,arm,0,26,26,84,0,0,0,0,,,,,,,,,,,,,1,9.515,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STEP,gå,klampa,traska,2,traska,gå,klampa,Leg,leg,0,26,26,84,0,1,1,1,,,,,,,,,,,,,7,1.589,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STEP,gå,klampa,traska,2,traska,gå,klampa,,,0,26,26,84,,,,,,,,,,,,,,,,,,,return,2.41541085052,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
CREEP,krypa,knäböja,klättra,3,knäböja,klättra,krypa,Arm,arm,0,27,27,15,0,0,0,0,,,,,,,,,,,,,2,8.412,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
CREEP,krypa,knäböja,klättra,3,knäböja,klättra,krypa,Leg,leg,0,27,27,15,0,1,1,1,,,,,,,,,,,,,7,2.327,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
CREEP,krypa,knäböja,klättra,3,knäböja,klättra,krypa,,,0,27,27,15,,,,,,,,,,,,,,,,,,,return,2.38173584142,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
SNATCH,rycka till sig,knuffa ifrån sig,plocka åt sig,1,rycka till sig,knuffa ifrån sig,plocka åt sig,Arm,arm,0,28,28,77,0,0,0,0,,,,,,,,,,,,,7,7.891,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
SNATCH,rycka till sig,knuffa ifrån sig,plocka åt sig,1,rycka till sig,knuffa ifrån sig,plocka åt sig,Leg,leg,0,28,28,77,0,1,1,1,,,,,,,,,,,,,1,2.745,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
SNATCH,rycka till sig,knuffa ifrån sig,plocka åt sig,1,rycka till sig,knuffa ifrån sig,plocka åt sig,,,0,28,28,77,,,,,,,,,,,,,,,,,,,return,3.33764817024,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
TRUDGE,släpa sig fram,kasta sig fram,ta sig fram,1,släpa sig fram,ta sig fram,kasta sig fram,Arm,arm,0,29,29,101,0,0,0,0,,,,,,,,,,,,,1,16.31,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
TRUDGE,släpa sig fram,kasta sig fram,ta sig fram,1,släpa sig fram,ta sig fram,kasta sig fram,Leg,leg,0,29,29,101,0,1,1,1,,,,,,,,,,,,,7,0.85,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
TRUDGE,släpa sig fram,kasta sig fram,ta sig fram,1,släpa sig fram,ta sig fram,kasta sig fram,,,0,29,29,101,,,,,,,,,,,,,,,,,,,return,8.01681063724,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
FLEE,fly,lyfta,flyga,2,lyfta,fly,flyga,Arm,arm,0,30,30,22,0,0,0,0,,,,,,,,,,,,,1,5.041,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
FLEE,fly,lyfta,flyga,2,lyfta,fly,flyga,Leg,leg,0,30,30,22,0,1,1,1,,,,,,,,,,,,,7,0.583,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
FLEE,fly,lyfta,flyga,2,lyfta,fly,flyga,,,0,30,30,22,,,,,,,,,,,,,,,,,,,return,1.57673520332,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
KNEEL,knäböja,krypa,kräla,3,kräla,krypa,knäböja,Arm,arm,0,31,31,37,0,0,0,0,,,,,,,,,,,,,1,3.313,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
KNEEL,knäböja,krypa,kräla,3,kräla,krypa,knäböja,Leg,leg,0,31,31,37,0,1,1,1,,,,,,,,,,,,,7,1.136,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
KNEEL,knäböja,krypa,kräla,3,kräla,krypa,knäböja,,,0,31,31,37,,,,,,,,,,,,,,,,,,,return,2.5999165533,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
WRAP,slå in,slå ihop,slå till,2,slå ihop,slå in,slå till,Arm,arm,0,32,32,111,0,0,0,0,,,,,,,,,,,,,7,5.259,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
WRAP,slå in,slå ihop,slå till,2,slå ihop,slå in,slå till,Leg,leg,0,32,32,111,0,1,1,1,,,,,,,,,,,,,7,3.065,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
WRAP,slå in,slå ihop,slå till,2,slå ihop,slå in,slå till,,,0,32,32,111,,,,,,,,,,,,,,,,,,,return,15.2619605944,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
TOSS,slänga,fånga,gripa,3,gripa,fånga,slänga,Arm,arm,0,33,33,96,0,0,0,0,,,,,,,,,,,,,7,2.442,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
TOSS,slänga,fånga,gripa,3,gripa,fånga,slänga,Leg,leg,0,33,33,96,0,1,1,1,,,,,,,,,,,,,1,0.968,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
TOSS,slänga,fånga,gripa,3,gripa,fånga,slänga,,,0,33,33,96,,,,,,,,,,,,,,,,,,,return,1.44272067838,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
INCH,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,2,hasa sig bakåt,röra sig långsamt framåt,dra sig snabbt tillbaka,Arm,arm,0,34,34,33,0,0,0,0,,,,,,,,,,,,,3,26.441,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
INCH,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,2,hasa sig bakåt,röra sig långsamt framåt,dra sig snabbt tillbaka,Leg,leg,0,34,34,33,0,1,1,1,,,,,,,,,,,,,3,1.136,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
INCH,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,2,hasa sig bakåt,röra sig långsamt framåt,dra sig snabbt tillbaka,,,0,34,34,33,,,,,,,,,,,,,,,,,,,return,8.28530156775,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
BASH,slå,knuffa,trycka,2,trycka,slå,knuffa,Arm,arm,0,35,35,0,0,0,0,0,,,,,,,,,,,,,7,6.365,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
BASH,slå,knuffa,trycka,2,trycka,slå,knuffa,Leg,leg,0,35,35,0,0,1,1,1,,,,,,,,,,,,,2,1.774,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
BASH,slå,knuffa,trycka,2,trycka,slå,knuffa,,,0,35,35,0,,,,,,,,,,,,,,,,,,,return,2.56637825139,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STIR,röra,sleva,vispa,2,sleva,röra,vispa,Arm,arm,0,36,36,85,0,0,0,0,,,,,,,,,,,,,7,2.441,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STIR,röra,sleva,vispa,2,sleva,röra,vispa,Leg,leg,0,36,36,85,0,1,1,1,,,,,,,,,,,,,1,0.732,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
STIR,röra,sleva,vispa,2,sleva,röra,vispa,,,0,36,36,85,,,,,,,,,,,,,,,,,,,return,1.40911165223,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
