word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
DASH,Leg,leg,0,83,83,65,0,1,1,1,2,0.85,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
DASH,,,0,83,83,65,,,,,,,return,4.54538576029,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
BASH,Arm,arm,0,84,84,0,0,0,0,0,4,3.9,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
BASH,Leg,leg,0,84,84,0,0,1,1,1,4,0.432,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
BASH,,,0,84,84,0,,,,,,,return,0.419731506554,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SWITCH,Arm,arm,0,85,85,51,0,0,0,0,4,5.963,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SWITCH,Leg,leg,0,85,85,51,0,1,1,1,4,0.498,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SWITCH,,,0,85,85,51,,,,,,,return,4.83033832924,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
WASH,Arm,arm,0,86,86,56,0,0,0,0,7,2.76,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
WASH,Leg,leg,0,86,86,56,0,1,1,1,1,0.583,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
WASH,,,0,86,86,56,,,,,,,return,0.486815752427,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SLAP,Arm,arm,0,87,87,46,0,0,0,0,7,2.375,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SLAP,Leg,leg,0,87,87,46,0,1,1,1,1,0.633,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SLAP,,,0,87,87,46,,,,,,,return,1.09040920418,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
GRATE,Arm,arm,0,88,88,20,0,0,0,0,4,5.677,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
