word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
GRIPA,Ben,ben,0,86,86,19,0,1,1,1,1,1.085,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
GRIPA,,,0,86,86,19,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
STÖVLA,Arm,arm,0,87,87,152,0,0,0,0,1,4.284,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
STÖVLA,Ben,ben,0,87,87,152,0,1,1,1,7,1.805,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
STÖVLA,,,0,87,87,152,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KNACKA,Arm,arm,0,88,88,36,0,0,0,0,7,2.34,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KNACKA,Ben,ben,0,88,88,36,0,1,1,1,1,1.001,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KNACKA,,,0,88,88,36,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
PETA,Arm,arm,0,89,89,50,0,0,0,0,7,2.407,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
PETA,Ben,ben,0,89,89,50,0,1,1,1,1,1.117,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
PETA,,,0,89,89,50,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KRAVLA,Arm,arm,0,90,90,122,0,0,0,0,5,5.459,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KRAVLA,Ben,ben,0,90,90,122,0,1,1,1,3,1.035,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KRAVLA,,,0,90,90,122,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKAKA,Arm,arm,0,91,91,69,0,0,0,0,6,2.827,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKAKA,Ben,ben,0,91,91,69,0,1,1,1,2,1.27,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKAKA,,,0,91,91,69,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKRUBBA,Arm,arm,0,92,92,75,0,0,0,0,7,3.998,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKRUBBA,Ben,ben,0,92,92,75,0,1,1,1,1,0.63,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKRUBBA,,,0,92,92,75,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TORKA,Arm,arm,0,93,93,93,0,0,0,0,7,2.492,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TORKA,Ben,ben,0,93,93,93,0,1,1,1,2,1.085,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TORKA,,,0,93,93,93,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLINTA,Arm,arm,0,94,94,140,0,0,0,0,6,3.648,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLINTA,Ben,ben,0,94,94,140,0,1,1,1,3,0.884,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLINTA,,,0,94,94,140,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLÄNTRA,Arm,arm,0,95,95,139,0,0,0,0,4,3.363,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLÄNTRA,Ben,ben,0,95,95,139,0,1,1,1,4,0.933,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLÄNTRA,,,0,95,95,139,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
FÖSA,Arm,arm,0,96,96,12,0,0,0,0,6,4.234,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
FÖSA,Ben,ben,0,96,96,12,0,1,1,1,2,0.63,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
FÖSA,,,0,96,96,12,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RYCKA,Arm,arm,0,97,97,67,0,0,0,0,7,2.491,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RYCKA,Ben,ben,0,97,97,67,0,1,1,1,1,0.582,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RYCKA,,,0,97,97,67,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KNALLA,Arm,arm,0,98,98,119,0,0,0,0,1,6.096,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KNALLA,Ben,ben,0,98,98,119,0,1,1,1,7,1.152,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KNALLA,,,0,98,98,119,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
FATTA,Arm,arm,0,99,99,9,0,0,0,0,7,6.365,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
FATTA,Ben,ben,0,99,99,9,0,1,1,1,1,1.119,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
FATTA,,,0,99,99,9,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BADDA,Arm,arm,0,100,100,0,0,0,0,0,7,3.162,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BADDA,Ben,ben,0,100,100,0,0,1,1,1,1,0.8,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BADDA,,,0,100,100,0,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TRUMMA,Arm,arm,0,101,101,94,0,0,0,0,7,3.009,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TRUMMA,Ben,ben,0,101,101,94,0,1,1,1,1,0.58,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TRUMMA,,,0,101,101,94,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
GRÄVA,Arm,arm,0,102,102,17,0,0,0,0,7,2.038,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
GRÄVA,Ben,ben,0,102,102,17,0,1,1,1,1,0.599,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
GRÄVA,,,0,102,102,17,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
PROMENERA,Arm,arm,0,103,103,129,0,0,0,0,1,2.789,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
PROMENERA,Ben,ben,0,103,103,129,0,1,1,1,7,0.561,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
PROMENERA,,,0,103,103,129,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
HOPPA,Arm,arm,0,104,104,111,0,0,0,0,1,2.558,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
HOPPA,Ben,ben,0,104,104,111,0,1,1,1,7,0.599,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
HOPPA,,,0,104,104,111,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
POLERA,Arm,arm,0,105,105,54,0,0,0,0,7,3.647,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
POLERA,Ben,ben,0,105,105,54,0,1,1,1,1,0.68,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
POLERA,,,0,105,105,54,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
PISKA,Arm,arm,0,106,106,52,0,0,0,0,7,3.665,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
PISKA,Ben,ben,0,106,106,52,0,1,1,1,1,0.632,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
PISKA,,,0,106,106,52,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKRIDA,Arm,arm,0,107,107,136,0,0,0,0,1,2.726,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKRIDA,Ben,ben,0,107,107,136,0,1,1,1,7,0.464,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKRIDA,,,0,107,107,136,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TVINNA,Arm,arm,0,108,108,97,0,0,0,0,7,2.525,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TVINNA,Ben,ben,0,108,108,97,0,1,1,1,1,0.632,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
TVINNA,,,0,108,108,97,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KLÖSA,Arm,arm,0,109,109,35,0,0,0,0,7,3.412,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KLÖSA,Ben,ben,0,109,109,35,0,1,1,1,1,0.58,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
KLÖSA,,,0,109,109,35,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
NORPA,Arm,arm,0,110,110,46,0,0,0,0,7,2.341,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
NORPA,Ben,ben,0,110,110,46,0,1,1,1,1,0.599,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
NORPA,,,0,110,110,46,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
LINDA,Arm,arm,0,111,111,43,0,0,0,0,7,2.542,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
LINDA,Ben,ben,0,111,111,43,0,1,1,1,1,0.616,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
LINDA,,,0,111,111,43,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RIVA,Arm,arm,0,112,112,63,0,0,0,0,7,2.207,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RIVA,Ben,ben,0,112,112,63,0,1,1,1,1,0.582,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
RIVA,,,0,112,112,63,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKYNDA,Arm,arm,0,113,113,138,0,0,0,0,1,6.147,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKYNDA,Ben,ben,0,113,113,138,0,1,1,1,4,3.936,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKYNDA,,,0,113,113,138,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
