"expName","date","participant","trial","resp_time","our_transl","verb","ppt_translation","score","comment","type"
"verb_norming_oral_input","2018_Jun_13_1344",905,106,0.638050745232,"hoppa","jump","hoppa",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,107,0.990294185163,"tvätta","wash","tvätta",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,108,2.03022730137,"nypa","nip","I don't know",0,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,109,0.940062592923,"piska","whip","piska",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,110,4.3613739783,"klappa","clap","slå ihop sina händer flera ggr så det blir som en applåd",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,111,0.923308456051,"smyga","sneak","smyga",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,112,2.46616516993,"traska","traipse","I don't know this word",0,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,1,18.0293112788,"ströva omkring","roam","skrika",0,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,2,4.93106979747,"hoppa","jump","hoppa",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,3,6.82614185971,"kliva","stride","stega",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,4,4.07571741217,"skrapa","scrape","skrapa",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,5,3.15337244665,"repa","scratch","klia",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,6,4.66278022725,"hoppa","leap","hoppa",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,7,11.3712277311,"spurta","sprint","springa",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,8,12.159397488,"gå","step","stega",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,9,4.71308491677,"slå","bash","slå",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,10,3.89118614963,"tvätta","wash","tvätta",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,11,4.8639183828,"sparka","kick","sparka",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,12,2.66701067628,"gräva","dig","gräva",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,13,3.10311991172,"gripa om","grip","greppa",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,14,5.61877083468,"knäböja","kneel","knäböja",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,15,3.0695414386,"studsa","bounce","studsa",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,16,3.23723071732,"vika ihop","fold","vika",1,"","arm"
