"expName","date","participant","trial","verb","translation","Score","verb_category","cognate_bin","cognate","in_orig"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,51,"hop","jag vet inte",0,"leg",1,"hoppa","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,52,"traipse","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,53,"hike","vandra",1,"leg",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,54,"pedal","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,55,"poke","peka",0,"arm",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,56,"switch","stänga av, ändra",1,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,57,"toddle","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,58,"rush","skynda",1,"leg",-99,"rusa","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,59,"row","ro",1,"arm",1,"ro","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,60,"scratch","klia",1,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,61,"wander","vandra",1,"leg",1,"vandra","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,62,"stomp","stampa",1,"leg",1,"stampa","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,63,"dig","gräva",1,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,64,"braid","jag vet inte",0,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,65,"shamble","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,66,"hack","hacka",1,"arm",1,"hacka","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,67,"scrub","klia",0,"arm",1,"skrubba","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,68,"knock","knacka",1,"arm",1,"knacka","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,69,"wipe","torka",1,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,70,"toss","jag vet inte",0,"arm",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,71,"push","putta",1,"arm",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,72,"scoop","jag vet inte",0,"arm",1,"skopa","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,73,"grate","jag vet inte",0,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,74,"slither","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,75,"clap","klappa",1,"arm",1,"klappa","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,76,"creep","krypa",1,"leg",1,"krypa","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,77,"polish","putsa",1,"arm",1,"polera","no"
