"expName","date","participant","trial","verb","category","rated_category","rating","verb_normed"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,89,"march","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,90,"pedal","leg","Arm",1,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,90,"pedal","leg","Leg",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,91,"crouch","leg","Arm",1,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,91,"crouch","leg","Leg",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,92,"stir","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,92,"stir","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,93,"slide","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,93,"slide","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,94,"glide","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,94,"glide","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,95,"trudge","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,95,"trudge","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,96,"trip","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,96,"trip","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,97,"squat","leg","Arm",1,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,97,"squat","leg","Leg",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,98,"whip","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,98,"whip","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,99,"inch","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,99,"inch","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,100,"hobble","leg","Arm",4,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,100,"hobble","leg","Leg",4,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,101,"seize","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,101,"seize","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,102,"file","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,102,"file","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,103,"slap","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,103,"slap","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,104,"shamble","leg","Arm",4,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,104,"shamble","leg","Leg",4,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,105,"waddle","leg","Arm",1,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,105,"waddle","leg","Leg",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,106,"totter","leg","Arm",4,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,106,"totter","leg","Leg",4,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,107,"prance","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,107,"prance","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,108,"snatch","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,108,"snatch","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,109,"lumber","leg","Arm",1,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,109,"lumber","leg","Leg",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,110,"stamp","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,110,"stamp","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,111,"hug","arm","Arm",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,111,"hug","arm","Leg",1,"sept"
