"expName","date","participant","itemID","item","correct_resp","resp","correct","RT","type"
"lextale","2018_Sep_10_1457",803,6,"moonlit","y","y",1,3.17011957764,"word"
"lextale","2018_Sep_10_1457",803,7,"lofty","y","y",1,1.61035802171,"word"
"lextale","2018_Sep_10_1457",803,8,"hurricane","y","y",1,1.17431135387,"word"
"lextale","2018_Sep_10_1457",803,9,"flaw","y","y",1,1.00656049133,"word"
"lextale","2018_Sep_10_1457",803,10,"alberation","n","y",0,1.94582655711,"nonword"
"lextale","2018_Sep_10_1457",803,11,"unkempt","y","y",1,1.61028650587,"word"
"lextale","2018_Sep_10_1457",803,12,"breeding","y","y",1,0.889210512591,"word"
"lextale","2018_Sep_10_1457",803,13,"festivity","y","y",1,7.74804892157,"word"
"lextale","2018_Sep_10_1457",803,14,"screech","y","y",1,0.905990261203,"word"
"lextale","2018_Sep_10_1457",803,15,"savoury","y","n",0,8.10090252194,"word"
"lextale","2018_Sep_10_1457",803,16,"plaudate","n","n",1,2.0798918807,"nonword"
"lextale","2018_Sep_10_1457",803,17,"shin","y","y",1,2.65018206904,"word"
"lextale","2018_Sep_10_1457",803,18,"fluid","y","y",1,0.805132782385,"word"
"lextale","2018_Sep_10_1457",803,19,"spaunch","n","y",0,1.71086661388,"nonword"
"lextale","2018_Sep_10_1457",803,20,"allied","y","y",1,1.35880087305,"word"
"lextale","2018_Sep_10_1457",803,21,"slain","y","n",0,3.67325797698,"word"
"lextale","2018_Sep_10_1457",803,22,"recipient","y","y",1,3.84101002486,"word"
"lextale","2018_Sep_10_1457",803,23,"exprate","n","n",1,5.31672704026,"nonword"
"lextale","2018_Sep_10_1457",803,24,"eloquence","y","y",1,3.94143643309,"word"
"lextale","2018_Sep_10_1457",803,25,"cleanliness","y","n",0,3.55583095079,"word"
"lextale","2018_Sep_10_1457",803,26,"dispatch","y","y",1,1.77810611844,"word"
"lextale","2018_Sep_10_1457",803,27,"rebondicate","n","y",0,5.33363085501,"nonword"
"lextale","2018_Sep_10_1457",803,28,"ingenious","y","n",0,6.7423161964,"word"
"lextale","2018_Sep_10_1457",803,29,"bewitch","y","y",1,1.96256521375,"word"
"lextale","2018_Sep_10_1457",803,30,"skave","n","y",0,1.24139913422,"nonword"
"lextale","2018_Sep_10_1457",803,31,"plaintively","y","y",1,1.76129001923,"word"
"lextale","2018_Sep_10_1457",803,32,"kilp","n","n",1,1.99610693079,"nonword"
"lextale","2018_Sep_10_1457",803,33,"interfate","n","y",0,4.76339598279,"nonword"
"lextale","2018_Sep_10_1457",803,34,"hasty","y","y",1,1.15755570728,"word"
"lextale","2018_Sep_10_1457",803,35,"lengthy","y","n",0,5.70252889477,"word"
"lextale","2018_Sep_10_1457",803,36,"fray","y","y",1,1.20785623183,"word"
"lextale","2018_Sep_10_1457",803,37,"crumper","n","y",0,0.939292143374,"nonword"
"lextale","2018_Sep_10_1457",803,38,"upkeep","y","y",1,1.24138135404,"word"
"lextale","2018_Sep_10_1457",803,39,"majestic","y","y",1,1.37541151239,"word"
"lextale","2018_Sep_10_1457",803,40,"magrity","n","n",1,2.23043073869,"nonword"
"lextale","2018_Sep_10_1457",803,41,"nourishment","y","y",1,1.66063128332,"word"
"lextale","2018_Sep_10_1457",803,42,"abergy","n","n",1,2.95343647418,"nonword"
"lextale","2018_Sep_10_1457",803,43,"proom","n","y",0,1.34200373937,"nonword"
"lextale","2018_Sep_10_1457",803,44,"turmoil","y","n",0,5.50138764428,"word"
"lextale","2018_Sep_10_1457",803,45,"carbohydrate","y","y",1,1.34207881124,"word"
"lextale","2018_Sep_10_1457",803,46,"scholar","y","y",1,1.91225402109,"word"
"lextale","2018_Sep_10_1457",803,47,"turtle","y","y",1,0.80537735864,"word"
"lextale","2018_Sep_10_1457",803,48,"fellick","n","y",0,1.79482383398,"nonword"
"lextale","2018_Sep_10_1457",803,49,"destription","n","n",1,5.31675785923,"nonword"
"lextale","2018_Sep_10_1457",803,50,"cylinder","y","y",1,0.755041273726,"word"
"lextale","2018_Sep_10_1457",803,51,"censorship","y","y",1,2.13031528605,"word"
"lextale","2018_Sep_10_1457",803,52,"celestial","y","y",1,1.44267116782,"word"
"lextale","2018_Sep_10_1457",803,53,"rascal","y","y",1,1.59361936507,"word"
"lextale","2018_Sep_10_1457",803,54,"purrage","n","y",0,0.721421323889,"nonword"
"lextale","2018_Sep_10_1457",803,55,"pulsh","n","n",1,2.71768195446,"nonword"
"lextale","2018_Sep_10_1457",803,56,"muddy","y","y",1,0.755038507919,"word"
"lextale","2018_Sep_10_1457",803,57,"quirty","n","y",0,1.6942263409,"nonword"
"lextale","2018_Sep_10_1457",803,58,"pudour","n","n",1,1.79484319462,"nonword"
"lextale","2018_Sep_10_1457",803,59,"listless","y","n",0,2.28122081087,"word"
"lextale","2018_Sep_10_1457",803,60,"wrought","y","y",1,1.37536251812,"word"
"lextale","2018_Sep_11_1322",804,0,"platery","n","n",1,12.7127186995,"nonword"
"lextale","2018_Sep_11_1322",804,0,"denial","y","y",1,0.888937136471,"word"
"lextale","2018_Sep_11_1322",804,0,"generic","y","y",1,0.922730683264,"word"
"lextale","2018_Sep_11_1322",804,1,"mensible","n","n",1,3.62288363118,"nonword"
"lextale","2018_Sep_11_1322",804,2,"scornful","y","n",0,3.57251117871,"word"
"lextale","2018_Sep_11_1322",804,3,"stoutly","y","n",0,3.67315809583,"word"
"lextale","2018_Sep_11_1322",804,4,"ablaze","y","n",0,4.88065756144,"word"
"lextale","2018_Sep_11_1322",804,5,"kermshaw","n","n",1,1.8786492064,"nonword"
"lextale","2018_Sep_11_1322",804,6,"moonlit","y","y",1,2.09664166529,"word"
"lextale","2018_Sep_11_1322",804,7,"lofty","y","y",1,3.89125012298,"word"
"lextale","2018_Sep_11_1322",804,8,"hurricane","y","y",1,0.972817074533,"word"
"lextale","2018_Sep_11_1322",804,9,"flaw","y","y",1,0.754990957859,"word"
"lextale","2018_Sep_11_1322",804,10,"alberation","n","n",1,6.00434386294,"nonword"
"lextale","2018_Sep_11_1322",804,11,"unkempt","y","n",0,3.43828328514,"word"
"lextale","2018_Sep_11_1322",804,12,"breeding","y","y",1,1.08935026573,"word"
"lextale","2018_Sep_11_1322",804,13,"festivity","y","y",1,1.15670661382,"word"
"lextale","2018_Sep_11_1322",804,14,"screech","y","n",0,4.54516270126,"word"
"lextale","2018_Sep_11_1322",804,15,"savoury","y","y",1,0.80535906409,"word"
"lextale","2018_Sep_11_1322",804,16,"plaudate","n","n",1,2.86814673043,"nonword"
"lextale","2018_Sep_11_1322",804,17,"shin","y","y",1,2.21412747187,"word"
"lextale","2018_Sep_11_1322",804,18,"fluid","y","y",1,0.805341679155,"word"
"lextale","2018_Sep_11_1322",804,19,"spaunch","n","n",1,2.88484495997,"nonword"
"lextale","2018_Sep_11_1322",804,20,"allied","y","y",1,1.42598225867,"word"
"lextale","2018_Sep_11_1322",804,21,"slain","y","y",1,5.56869834649,"word"
"lextale","2018_Sep_11_1322",804,22,"recipient","y","y",1,1.34202922486,"word"
"lextale","2018_Sep_11_1322",804,23,"exprate","n","n",1,5.51802521369,"nonword"
"lextale","2018_Sep_11_1322",804,24,"eloquence","y","y",1,6.44042597831,"word"
"lextale","2018_Sep_11_1322",804,25,"cleanliness","y","y",1,0.78857114409,"word"
"lextale","2018_Sep_11_1322",804,26,"dispatch","y","y",1,1.00659837285,"word"
"lextale","2018_Sep_11_1322",804,27,"rebondicate","n","n",1,4.9477819787,"nonword"
"lextale","2018_Sep_11_1322",804,28,"ingenious","y","n",0,7.79891004363,"word"
"lextale","2018_Sep_11_1322",804,29,"bewitch","y","y",1,1.12395181686,"word"
"lextale","2018_Sep_11_1322",804,30,"skave","n","n",1,3.0023453857,"nonword"
"lextale","2018_Sep_11_1322",804,31,"plaintively","y","y",1,1.91226732339,"word"
"lextale","2018_Sep_11_1322",804,32,"kilp","n","n",1,2.19728581662,"nonword"
"lextale","2018_Sep_11_1322",804,33,"interfate","n","y",0,3.1868078376,"nonword"
"lextale","2018_Sep_11_1322",804,34,"hasty","y","y",1,0.889159189499,"word"
"lextale","2018_Sep_11_1322",804,35,"lengthy","y","y",1,0.755007552569,"word"
"lextale","2018_Sep_11_1322",804,36,"fray","y","y",1,5.88691060627,"word"
"lextale","2018_Sep_11_1322",804,37,"crumper","n","n",1,3.50548553949,"nonword"
"lextale","2018_Sep_11_1322",804,38,"upkeep","y","y",1,6.74230193127,"word"
"lextale","2018_Sep_11_1322",804,39,"majestic","y","y",1,0.63756876433,"word"
"lextale","2018_Sep_11_1322",804,40,"magrity","n","n",1,2.59972255225,"nonword"
"lextale","2018_Sep_11_1322",804,41,"nourishment","y","y",1,4.42877846734,"word"
"lextale","2018_Sep_11_1322",804,42,"abergy","n","n",1,1.64386803728,"nonword"
"lextale","2018_Sep_11_1322",804,43,"proom","n","y",0,0.771666270897,"nonword"
"lextale","2018_Sep_11_1322",804,44,"turmoil","y","n",0,2.24884400064,"word"
"lextale","2018_Sep_11_1322",804,45,"carbohydrate","y","y",1,2.16385340233,"word"
"lextale","2018_Sep_11_1322",804,46,"scholar","y","y",1,1.00660350931,"word"
"lextale","2018_Sep_11_1322",804,47,"turtle","y","y",1,0.822109053322,"word"
"lextale","2018_Sep_11_1322",804,48,"fellick","n","n",1,2.36506939947,"nonword"
"lextale","2018_Sep_11_1322",804,49,"destription","n","y",0,1.12399962543,"nonword"
"lextale","2018_Sep_11_1322",804,50,"cylinder","y","y",1,0.939405601188,"word"
"lextale","2018_Sep_11_1322",804,51,"censorship","y","y",1,0.771802584586,"word"
"lextale","2018_Sep_11_1322",804,52,"celestial","y","n",0,4.22660550857,"word"
"lextale","2018_Sep_11_1322",804,53,"rascal","y","y",1,1.4426148996,"word"
"lextale","2018_Sep_11_1322",804,54,"purrage","n","n",1,4.76332387303,"nonword"
"lextale","2018_Sep_11_1322",804,55,"pulsh","n","n",1,2.24755909593,"nonword"
"lextale","2018_Sep_11_1322",804,56,"muddy","y","y",1,0.704616924944,"word"
"lextale","2018_Sep_11_1322",804,57,"quirty","n","n",1,3.75707240865,"nonword"
"lextale","2018_Sep_11_1322",804,58,"pudour","n","n",1,1.77805720987,"nonword"
"lextale","2018_Sep_11_1322",804,59,"listless","y","n",0,2.02967529289,"word"
"lextale","2018_Sep_11_1322",804,60,"wrought","y","y",1,5.28325076148,"word"
